# time luminosity u_luminosity radius u_radius
-6.592269525877782144e+00 2.437839843160928310e+37 1.605582719191838674e+37 1.009848167260386981e+06 4.663560621276658935e+02
-6.589169787781429477e+00 2.456401358032578987e+37 1.613050901705174414e+37 1.009853036081597209e+06 4.660666929874873858e+02
-6.586181159218540415e+00 2.474362886406281761e+37 1.620135247051408565e+37 1.009857729782018228e+06 4.657791350869273970e+02
-6.583261944164405577e+00 2.491930827249762158e+37 1.627029811418833236e+37 1.009862305473162211e+06 4.655059164679154833e+02
-6.580419863035785966e+00 2.509153417086622765e+37 1.633685993204439895e+37 1.009866764175955555e+06 4.652258963327514039e+02
-6.577481351778260432e+00 2.527005143096064403e+37 1.640522042837551027e+37 1.009871366795130423e+06 4.649529222870883700e+02
-6.574783954332815483e+00 2.543437708399183354e+37 1.646754731326931623e+37 1.009875600552989752e+06 4.646898619957702294e+02
-6.572124969607102685e+00 2.559697858977160621e+37 1.652846175582016241e+37 1.009879761269161711e+06 4.644506529541076816e+02
-6.569509668915998191e+00 2.575768329364315554e+37 1.658779940692222800e+37 1.009883844737230684e+06 4.642163781195874321e+02
-6.566748389173881151e+00 2.592777090276981997e+37 1.664998717848555496e+37 1.009888154536289861e+06 4.639570969461756818e+02
-6.564211273827822879e+00 2.608475291710879162e+37 1.670650711835104754e+37 1.009892113756244769e+06 4.637209112313029777e+02
-6.561695797659922391e+00 2.624117247465320725e+37 1.676200404397819568e+37 1.009896032572194934e+06 4.634940547745522395e+02
-6.559207003345363773e+00 2.639611680626231714e+37 1.681674590500977268e+37 1.009899908530843793e+06 4.632752313723042903e+02
-6.556738667539320886e+00 2.655000970612465625e+37 1.687087746025410998e+37 1.009903750607950613e+06 4.630643151639724238e+02
-6.554287260034470819e+00 2.670330066687991723e+37 1.692445218140880661e+37 1.009907561044928269e+06 4.628605816545547214e+02
-6.551849123250576667e+00 2.685611610962221587e+37 1.697721140034689983e+37 1.009911340041548596e+06 4.626608342212879847e+02
-6.549420972616644576e+00 2.700862620470068822e+37 1.702934907425670510e+37 1.009915095554734347e+06 4.624548379187625642e+02
-6.546998571808217093e+00 2.716090151495829540e+37 1.708108399930022857e+37 1.009918835623526364e+06 4.622512874980038191e+02
-6.544577777502126992e+00 2.731333606501142320e+37 1.713272042979044992e+37 1.009922568766020471e+06 4.620538367252049738e+02
-6.542154089387622662e+00 2.746653777367511789e+37 1.718420193386106104e+37 1.009926300052047940e+06 4.618629137794399639e+02
-6.539723192661767825e+00 2.762079010578469471e+37 1.723535807149282305e+37 1.009930035080545931e+06 4.616809451925447547e+02
-6.537280782227753662e+00 2.777610667712079759e+37 1.728651887274394108e+37 1.009933782883139676e+06 4.615059307170138823e+02
-6.534815630890079774e+00 2.793333508966803793e+37 1.733785999462982911e+37 1.009937561890374287e+06 4.613354455142525126e+02
