# File gs1826-24_5.14h.dat
# Created Sat Oct 31 10:23:47 2015
#
# This profile forms part of the sample assembled for the paper
#   "Thermonuclear burst observations for model comparisons: a reference
#   catalogue" by Galloway, Goodwin & Keek (2017), PASA 34, e019
#   DOI: https://doi.org/10.1017/pasa.2017.12; published online: 19/4/2017
#
# The dataset can be cited as
#   Duncan K. Galloway (2017). Dataset: Thermonuclear Burst Observations for
#   Model Comparisons: A Reference Sample.
#   DOI: http://dx.doi.org/10.4225/50/58e720d5d95a7
#
# This profile is from MINBAR burst #2393
# (#7 in Galloway et al. 2008, ApJS 179, 360), of
# GS 1826-24, observed on MJD 50988.82504
# by the Rossi X-ray Timing Explorer (RXTE).
# 
# For full details of the source sample see
# http://burst.sci.monash.edu/minbar 
#
# The burst recurrence time is derived from a linear fit to the time of
# this burst and optical bursts observed at the same time; see Thompson et
# al. 2008, ApJ 681, 506 for details.
# The fit incorporates intrinsic variations in the recurrence time,
# arising (for example) from the variations in accretion rate over the
# bursting interval
#
# Assumed cycle count is 
# [0,1,5,6,10,11] 
# Average recurrence time is 5.14 +/- 0.07 hr
#
# This version of the data now includes deadtime correction (see 
# http://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_deadtime.html)
# and has the updated effective area of the v11.7 responses (see
# http://www.universe.nasa.gov/xrays/programs/rxte/pca/doc/rmf/pca-arf-2011
#
# All uncertainties below are at 1-sigma (68%) confidence. Note that the
# time value specifies the BEGINNING of the time bin
#
# Columns are:
# 'Time [s]' 'dt [s]' 'flux [10^-9 erg/cm^2/s]' 'flux error [10^-9 erg/cm^2/s]' 'blackbody temperature kT [keV]' 'kT error [keV]' 'blackbody normalisation K_bb [(km/d_10kpc)^2]' 'K_bb error [(km/d_10kpc)^2]' chi-sq
 49.250  2.000   7.89    0.155   1.631  0.019  103.739   5.049  1.493
 51.250  2.000   7.49    0.152   1.644  0.020   95.358   4.748  1.217
 53.250  2.000   7.24    0.154   1.559  0.019  113.928   5.932  1.059
 55.250  2.000   6.79    0.149   1.565  0.021  105.162   5.840  2.450
 57.250  2.000   6.61    0.145   1.566  0.020  102.018   5.422  1.276
 59.250  4.000   6.21    0.141   1.586  0.021   91.165   5.084  1.040
 63.250  4.000   5.95    0.096   1.559  0.016   93.507   4.009  1.894
 67.250  4.000   5.35    0.094   1.527  0.017   91.247   4.227  2.695
 71.250  4.000   5.13    0.091   1.561  0.017   80.253   3.752  2.265
 75.250  4.000   4.53    0.087   1.536  0.019   75.648   3.859  1.723
 79.250  8.000   4.16    0.087   1.481  0.019   80.293   4.444  2.305
 87.250  8.000   3.18    0.059   1.418  0.016   73.227   3.603  3.083
 95.250  8.000   2.56    0.055   1.444  0.020   54.828   3.154  3.610
103.250 16.000   1.96    0.045   1.424  0.024   44.245   3.181  3.162
119.250 16.000   1.03    0.032   1.337  0.031   29.892   2.893  3.626
135.250 16.000   0.62    0.030   1.287  0.048   20.998   3.318  2.039
151.250 15.620   0.42    0.029   1.269  0.067   15.180   3.433  1.417
